__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
新安晚报,蓝V,None,#安徽16市新冠肺炎疫情报告#【淮北新增4例确诊病例基本情况发布】今晚21:42分，@淮北发布 终于公布！2020年1月31日0-24时，淮北市报告新增新型冠状病毒感染的肺炎确诊病例4例，新增疑似病例3例。累计报告确诊病例6例，均病情稳定。目前追踪到密切接触者301人，均在接受医学观察。解除医学观察15人。O2月1日淮北市报告新型冠状病毒感染的肺炎疫情通报新增确诊病例情况：确诊病例3：女，28岁，宿州市人，上海铁路局合肥部乘务员，常住徐州市云龙区，暂住濉溪县经济技术开发区。1月17日在G2039次列车当班。1月24日发病，1月25日在家休息。1月26-27日连续两天在G649次列车当班，期间在合肥市包河区驿柚酒店休息。1月28日上午9时32分乘坐G7162列车餐车车厢，10时35分至南京，11时32分从南京乘坐G9412列车11号车厢（此车厢仅患者1人），13时30分到达淮北，步行至淮海路乘1路公交车前往淮北市人民医院就诊，随后入院治疗。1月31日确诊。目前，在淮北市人民医院隔离治疗。确诊病例4：女，42岁，理发师，相山区人。在濉溪县烈山路开设“艺剪坊”理发店。1月23日理发店停业，患者身体不适。1月24日发热，自服药物。1月25日，乘坐私家车前往淮北矿工总医院就诊后回家观察。1月28日10时驾驶私家车前往淮北市人民医院就诊，随后入院治疗。1月31日确诊。目前，在淮北市人民医院隔离治疗。确诊病例5：男，57岁，从事酒业销售，濉溪县人。1月21日14时与朋友驾车从淮北出发抵达山东省济宁市嘉祥县仲山镇某宾馆，并于17时感觉不适，伴发热，到附近诊所就诊。1月22日前往济宁市嘉祥县仲山镇医院治疗。1月23日23时与朋友驾车返回淮北，在烈山高速路口，乘坐出租车皖FT1010回家。1月24日在家。1月25日18时30分，乘坐私家车前往淮北市中医医院就诊，随后至1月29日在淮北市中医医院住院治疗。1月29日18时，转入淮北市人民医院隔离治疗。1月31日确诊。目前，在淮北市人民医院隔离治疗。确诊病例6：女，45岁，从事服装销售，相山区人。患者曾与2020年1月5日前往武汉汉正街进货，1月6日晚乘坐K1624次火车，1月7日1时30分到达淮北。1月9日患者发热，前往八号桥社区卫生服务站输液治疗至1月14日。1月15日-23日期间，在高岳街道东黎批发市场东区524-525看店，交通出行方式为自驾车。1月24日-25日，自感不适到淮北矿工总医院门诊就诊，O25日22时左右发热 。1月26上午9时乘坐私家车前往淮北朝阳医院就诊，10时许到相山区马庄社区卫生服务站就诊，11时许前往该社区卫生服务站前约100米处阳光药房购药。1月27日-29日，每日11时-14时乘坐私家车到淮北交通医院综合门诊部（长山北路）输液治疗。1月29日晚20时乘坐私家车前往淮北市人民医院就诊，随后入院治疗。目前，在淮北市人民医院隔离治疗。 收起全文d,收藏转发 8评论 11赞26,02月01日 22:03微博 weibo.com
新潮电子徐林,黄V,重庆 渝北区,明天应该不抢了吧……清热解毒类的中成药都有广谱抗病毒和细菌的作用，但是对新冠病毒没有针对性，而且还有副作用，不管是口服还是输液，一定要在医生指导下使用。 2重庆·冉家坝 ?,收藏转发 4评论 10赞35,02月01日 22:56
新都教育,蓝V,None,#众志成城 抗击疫情# 又是新的一天，防控疫情，新都教育在行动！武汉加油！@新都区第二中学 ?,收藏转发 1评论赞2,02月01日 22:59iPhone客户端
新金融观察报,蓝V,None,#抗击新冠肺炎疫情#31日上午，广州市公安局森林分局在白云区江村农贸市场，查获一批疑似野生动物。为了多赚几分盈利，给疫情防控拖后腿。顶风作案偷卖野味，生命的代价难道，还不够惨痛？！为了你我的健康，禁绝野味市场。管住嘴，勿贪吃。让野味远离餐桌，别拿所有人的健康来冒险！#羊晚锐评# L羊城晚报的微博视频 收起全文d,收藏转发 1评论赞3,02月01日 22:15iPhone客户端
新浪河北唐山,蓝V,None,#唐山身边事##唐山生活##万众一心抗击新冠肺炎# 【丰润区关于实施全域集中消杀作业的公告】为更加有力有效做好防控工作，切实保障人民群众身体健康和生命安全，丰润区将于O2月1日23时至2月2日凌晨5时 ，利用雾炮车等工具对境内主次干道、公园广场、重点市场、交通节点、火车站、裸露地块等区域集中喷洒消毒剂。请广大市民及时关闭门窗，避免外出，并做好科学预防；各类店面门前和主干道、便道严禁堆放任何物品。 收起全文d,收藏转发 1评论 2赞4,02月01日 22:11iPhone客户端
新浪湖北,蓝V,None,#关注湖北新冠肺炎疫情#【孝感市长回应疫情是否爆发：牢牢控制扩散风险 总体往下降】针对近期孝感确诊新型肺炎病例大幅增加，是否存在大规模爆发的可能这一问题，孝感市市长吴海涛1日回应称，大幅增加的主要原因包括，孝感与武汉两地交往非常密切，排查情况、检测效率不断提升，扩大检测对象范围等。他说：“我觉得，已牢牢控制住了扩散风险。总体讲是往下降的。这个我们有信心。”@中国新闻网 收起全文d,收藏转发 12评论 7赞13,02月01日 22:55微博国际版
新浪湖北,蓝V,None,#万众一心抗击新冠肺炎#【重大发现！深圳确诊患者粪便中检测出病毒RNA阳性】#粪便中可能存在活病毒# 2月1日，深圳市第三人民医院透露，该院肝病研究所研究发现，在某些新型冠状病毒感染的肺炎确诊患者的粪便中检测出2019-nCoV核酸（新型冠状病毒）阳性，很有可能提示粪便中有活病毒存在。据第三人民医院研究人员表示，目前研究人员正在做进一步分离病毒的研究。提醒广大市民，戴口罩的同时，要勤洗手，注意个人卫生。（深圳卫健委） L深圳卫健委的微博视频 收起全文d,收藏转发 5评论 12赞23,02月01日 22:46微博 weibo.com
新浪湖北,蓝V,None,#关注湖北新冠肺炎疫情# 【湖北副省长：一线应急处置医护人员每人可获6000元补助】湖北省副省长杨云彦1日表示，保证参与疫情防控的医疗卫生人员工作后安排免费体检、结合实际给予带薪休假，并开展必要的心理疏导，采取积极有效措施帮助解决其照顾子女、老人的后顾之忧；对于工作中感染新型肺炎的认定为工伤；对参与疫情一线应急处置的医疗卫生人员，由财政按照每人6000元的标准发放一次性慰问补助，对参与疫情防控的医疗卫生人员分类给予每人每天300到200元的临时性工作补助。（中国新闻网）#万众一心抗击新冠肺炎# 收起全文d,收藏转发 5评论 13赞23,02月01日 22:36微博 weibo.com
新浪湖北,蓝V,None,#关注湖北新冠肺炎疫情#【黄冈市市长：黄冈今明两天确诊病例会大幅提升】#万众一心抗击新冠肺炎#黄冈市市长邱丽新在1日的新闻发布会上表示，黄冈是仅次于武汉的第二人口大市，大概有60-70万人在封城之前返回黄冈，巨大人员流动对防控带来非常大的压力。最近我们的数据在迅速增长，各方面加大了对黄冈检测力量的下沉，“今明两天我们现存的1000多例疑似病例很快就会检测完毕，在这1000多例中可能有很大比例是确诊病例，所以可能今明两天黄冈的确诊病例还会有大幅度的提升”。@中国新闻网 收起全文d,收藏转发 5评论 12赞19,02月01日 22:36微博国际版
新浪湖北,蓝V,None,#关注湖北新冠肺炎疫情# 【#武汉外地区确诊超全省一半#】湖北省副省长杨云彦：武汉之外其他市州确诊病例已经占湖北省确诊数一半以上，12市州中确诊病例在100例以上。#万众一心抗击新冠肺炎# L人民日报的微博视频 ?,收藏转发评论 8赞14,02月01日 22:27微博 weibo.com
新浪湖北,蓝V,None,#关注湖北新冠肺炎疫情#【#武汉红十字会调整定向捐赠流程#：单位或个人可直接与武汉医院对接捐赠】武汉市红十字会专职副会长陈耘通过长江日报回应各界疑问时表示，为了进一步缩短捐赠物资的运转时间，报请指挥部同意，市红十字会下发了6号公告，对定向捐赠流程作出了适当调整。境内外单位或个人如有定向捐赠医院，可直接与定向捐赠医疗机构对接，确认后可直接将物资发往受捐单位。如有捐赠凭证需要的，后期可凭受捐单位相关证明到武汉市红十字会办理捐赠手续。#万众一心抗击新冠肺炎#  O武汉市红十字会感谢各界爱心 答复各方疑问 收起全文d,收藏转发 5评论 15赞33,02月01日 22:13微博国际版
新浪湖北,蓝V,None,#万众一心抗击新冠肺炎#【#中国红十字总会派工作组赴武汉#】2月1日，中国红十字会党组书记、常务副会长梁惠玲率领总会工作组赶赴湖北武汉，指导、督促湖北省红十字会、武汉市红十字会做好新型冠状病毒感染的肺炎疫情防控工作，确保捐赠款物使用规范高效、公开透明，主动接受社会监督，为奋战在疫情防控第一线的医护人员提供有力支援，助力打赢疫情防控阻击战。O中国红十字会总会派出工作组赴湖北武汉 收起全文d,收藏转发 8评论赞18,02月01日 22:13微博 weibo.com
新浪湖北,蓝V,None,#关注湖北新冠肺炎疫情#【实探武汉红十字会仓库：多名“白大褂”焦急等候，医生领500口罩遇阻，反复沟通后领走】武汉市政府党组成员李强指出，武汉红十字会存在调拨不及时问题。2月1日，梨视频拍客实地探访武汉红十字会仓库，看到门口站着不少来领物资的“白大褂”和其他人员。一位中南医院医生经反复沟通、排队，最终领走500个N95口罩。 #万众一心抗击新冠肺炎# L一手video的秒拍视频 收起全文d,收藏转发 36评论 53赞170,02月01日 22:09微博国际版
新浪湖北,蓝V,None,【湖北各地公开接受社会爱心捐赠公告总汇】为更好的救治患者、守护人民健康，湖北各地医疗机构与慈善机构急需爱心人士伸出援助之手，为一线抗疫人员提供物资保障！[人人公益节]浪北君为大家整理了省内部分接受捐赠方（持续更新），#万众一心抗击新冠肺炎#，誓要打赢这场疫情防控战！#湖北加油#△ 截至2月2日，最新的湖北各地公开接受社会爱心捐赠公告如下↓↓-------------------------------------【捐助医用耗材标准】 医用外科口罩（不低于YY0469—2011标准）、医用防护口罩（不低于GB 19083—2010标准）、医用防护服（不低于GB 19082—2009标准）、医用隔离面罩、医用隔离眼罩。---------------------------------------@微公益2月2日 17:45【荆门市第一人民医院】O网页链接?@微公益2月2日 17:40【宜昌市第五人民医院】O网页链接@人民日报2月2日 10:41【武汉金银潭医院接受社会捐赠公告】O网页链接?@黄石发布2月2日 11:24【急！急！急！阳新县医疗防护物资告急】O网页链接@平安房县2月1日 10:52【房县接受爱心捐赠公告】O网页链接@武汉动物园2月1日 13:06【武汉动物园接受社会爱心捐赠的公告】O网页链接@黄石发布2月1日 14:13【求助！向坚持战斗在抗疫一线的黄石餐饮人提供帮助】O网页链接@孝感日报2月1日 14:30【孝感市接受社会捐赠的公告】O网页链接@江汉大学2月1日 14:57【江汉大学关于接收抗击新型肺炎防疫工作爱心捐赠的公告】O网页链接@武汉儿童医院2月1日 16:00【武汉儿童医院急需防护物资需求公告】O网页链接@十堰晚报2月1日 10:52【湖北省十堰市郧阳区城关镇卫生院紧急需求防护服，75%医用酒精】O网页链接-------------------- 〉〉更详细，请看↓↓↓【已核实！湖北省新冠肺炎物资求助信息总汇（二）】O网页链接【湖北各地公开接受社会爱心捐赠公告总汇】O网页链接 收起全文d,收藏转发 140评论 9赞105,02月01日 17:27微博 weibo.com
新浪教育,蓝V,None,#教育资讯#【各国对新冠病毒疫情采取措施 留学生受到哪些影响】2020年1月30日，世界卫生组织将新型冠状病毒疫情列为国际关注的突发公共卫生事件，美国、英国、澳洲、加拿大、德国、日本、新加坡等多国相继发现确诊病例或疑似病例，为防止疾病蔓延，不少国家采取行动暂时对出入境进行管控，这些措施对刚刚结束圣诞假期即将入学的留学生有哪些影响？留学生又该如何应对？一起和小浪看看吧！O各国对新冠病毒疫情采取措施 留学生受到哪些影响？ 收起全文d,收藏转发 1评论 1赞2,02月01日 22:38专业版微博
